10000,100,2000,17
0,163.878,144.771
1,149.147,15.201
2,105.31,97.17
3,89.332,22.649
4,3.432,84.473
5,29.057,178.905
6,51.329,157.501
7,30.544,84.446
8,176.354,1.955
9,109.559,128.019
10,133.282,168.688
11,22.419,187.118
12,33.26,62.355
13,167.37,147.656
14,135.524,52.635
15,161.357,198.865
16,51.904,138.639
17,9.605,140.294
18,39.307,174.393
19,81.174,199.76
20,54.038,92.528
21,52.585,165.257
22,68.135,176.93
23,9.547,4.304
24,170.328,73.425
25,24.815,28.913
26,12.622,95.33
27,18.448,1.55
28,6.896,154.853
29,13.666,172.215
30,49.763,86.402
31,68.596,151.11
32,57.21,69.825
33,155.982,57.578
34,59.209,151.5
35,121.966,45.394
36,80.709,165.868
37,81.386,142.507
38,173.431,184.052
39,37.192,111.294
40,179.916,163.986
41,144.886,148.821
42,113.724,176.218
43,32.74,136.353
44,34.442,178.713
45,189.67,141.959
46,187.719,146.275
47,188.235,13.941
48,50.737,13.924
49,140.166,67.458
50,100.671,6.051
51,92.151,11.583
52,185.362,125.013
53,25.323,161.074
54,155.123,47.112
55,17.056,196.15
56,19.143,50.247
57,116.161,38.43
58,14.898,26.998
59,1.86,171.42
60,7.885,82.926
61,46.183,0.726
62,49.74,115.026
63,64.403,161.601
64,63.536,15.061
65,52.325,191.21
66,57.879,25.371
67,11.539,27.155
68,11.072,11.311
69,11.711,151.914
70,176.764,41.87
71,161.031,125.031
72,138.606,167.932
73,97.595,95.122
74,137.672,176.519
75,52.563,153.648
76,5.552,180.323
77,172.609,4.319
78,110.501,133.184
79,163.602,149.077
80,73.22,121.378
81,123.357,155.328
82,137.993,174.923
83,12.57,20.372
84,8.705,139.494
85,149.759,11.804
86,166.76,26.473
87,191.229,53.316
88,138.823,16.552
89,149.008,146.8
90,185.669,171.443
91,55.425,184.202
92,149.111,36.751
93,79.576,151.905
94,147.184,184.82
95,143.461,36.764
96,135.316,124.15
97,84.265,144.881
98,187.954,62.109
99,2.761,39.764
100,150.636,86.518
101,108.422,78.955
102,179.419,41.232
103,136.687,85.112
104,109.069,90.404
105,149.077,148.651
106,173.194,80.154
107,5.989,180.7
108,148.601,146.257
109,165.803,62.472
110,191.962,34.857
111,176.914,136.713
112,76.749,27.157
113,9.986,139.322
114,171.741,114.681
115,16.071,197.229
116,167.744,120.916
117,115.496,156.852
118,151.247,184.882
119,64.502,139.524
120,187.831,146.379
